timestamp,log_type,message
17.82938,Log,Reaction Time = 1.419247
17.84691,Log,Reaction Time = 1.419247
17.86252,Log,Reaction Time = 1.419247
17.87923,Log,Reaction Time = 1.419247
17.89607,Log,Reaction Time = 1.419247
17.91221,Log,Reaction Time = 1.419247
17.92878,Log,Reaction Time = 1.419247
17.94536,Log,Reaction Time = 1.419247
17.96191,Log,Reaction Time = 1.419247
17.9791,Log,Reaction Time = 1.419247
17.99508,Log,Reaction Time = 1.419247
18.01228,Log,Reaction Time = 1.419247
18.02825,Log,Reaction Time = 1.419247
18.04475,Log,Reaction Time = 1.419247
18.06131,Log,Reaction Time = 1.419247
18.07814,Log,Reaction Time = 1.419247
18.09445,Log,Reaction Time = 1.419247
18.11101,Log,Reaction Time = 1.419247
18.12758,Log,Reaction Time = 1.419247
18.14446,Log,Reaction Time = 1.419247
18.16101,Log,Reaction Time = 1.419247
18.17728,Log,Reaction Time = 1.419247
18.19454,Log,Reaction Time = 1.419247
18.21041,Log,Reaction Time = 1.419247
18.22712,Log,Reaction Time = 1.419247
18.24355,Log,Reaction Time = 1.419247
18.26083,Log,Reaction Time = 1.419247
18.27956,Log,Reaction Time = 1.419247
18.29613,Log,Reaction Time = 1.419247
18.31278,Log,Reaction Time = 1.419247
18.33,Log,Reaction Time = 1.419247
18.34625,Log,Reaction Time = 1.419247
18.3624,Log,Reaction Time = 1.419247
18.3793,Log,Reaction Time = 1.419247
18.39564,Log,Reaction Time = 1.419247
18.4121,Log,Reaction Time = 1.419247
18.42867,Log,Reaction Time = 1.419247
18.44542,Log,Reaction Time = 1.419247
18.46229,Log,Reaction Time = 1.419247
18.47836,Log,Reaction Time = 1.419247
18.49493,Log,Reaction Time = 1.419247
18.51155,Log,Reaction Time = 1.419247
18.52849,Log,Reaction Time = 1.419247
18.54463,Log,Reaction Time = 1.419247
18.56121,Log,Reaction Time = 1.419247
18.57776,Log,Reaction Time = 1.419247
18.59449,Log,Reaction Time = 1.419247
18.6109,Log,Reaction Time = 1.419247
18.62831,Log,Reaction Time = 1.419247
18.64441,Log,Reaction Time = 1.419247
